state,x,y
Punjab,-195,213
Himachal Pradesh,-157,245
Uttarakhand,-74,194
Uttar Pradesh,-75,105
Rajasthan,-243,95
Haryana,-153,161
Bihar,79,66
Sikkim,153,116
Jharkhand,67,1
West Bengal,135,-13
Arunachal Pradesh,273,134
Assam,255,88
Nagaland,309,79
Manipur,290,37
Mizoram,263,-4
Meghalaya,205,57
Tripura,223,6
Madhya Pradesh,-159,-9
Gujarat,-293,-10
Chhattisgarh,-17,-45
Odisha,55,-76
Maharashtra,-177,-95
Telangana,-87,-149
Goa,-210,-213
Andhra Pradesh,-80,-215
Karnataka,-179,-243
Tamil Nadu,-111.0,-322.0
Kerala,-153,-338
